combo,count,mean_pct,std_pct
cold | cold,867,3.3945928475755394,3.9805050975449188
cold | neutral,257,1.291540475753746,5.202050288114801
extreme | extreme,640,-2.5525909140331353,12.556387755068702
extreme | hot,155,3.697027475921705,9.549360195604388
extreme | neutral,102,8.050382116363025,8.957312230557921
hot | cold,11,1.7756154356048703,2.5035482697941402
hot | extreme,93,2.3644809279295123,4.981024342779701
hot | hot,215,3.0812579249956893,6.699397442033305
hot | neutral,328,5.369298430236171,6.041255640821234
nan | nan,103,-0.8116021178020778,2.98238055388643
neutral | cold,374,3.5320994818976534,6.437445823661665
neutral | extreme,46,3.500452164550406,6.942717124744593
neutral | hot,320,3.627266761279534,4.954714434999877
neutral | neutral,1536,2.171329552585605,6.523962955423422
