combo,count,mean_pct,std_pct
cold | cold,867,11.216875831262222,9.893707173979303
cold | neutral,257,4.541073307773517,10.523959841371969
extreme | extreme,640,-1.1846456796547846,26.66069370611609
extreme | hot,155,17.206197943323467,22.008889125514923
extreme | neutral,102,25.06092346598598,25.85920234703266
hot | cold,11,14.665942062824161,1.292233552625004
hot | extreme,93,8.851920567945829,12.35708853092112
hot | hot,215,12.220377383231307,9.208677658859532
hot | neutral,314,21.834378187129516,12.288790329653752
nan | nan,103,12.688336901425737,3.429291615330233
neutral | cold,374,10.44388657045656,9.977755285143344
neutral | extreme,46,7.939563215596928,14.558473950354806
neutral | hot,299,9.47708387668545,13.137707926007778
neutral | neutral,1379,10.576491728579288,12.906060805118871
