signal,bull_n,bull_mean_ret_pct,bull_alpha_vs_spy_pct,bull_hit_rate_pct,bull_beats_spy_pct,bear_n,bear_mean_ret_pct,bear_alpha_vs_spy_pct,bear_hit_rate_pct,bear_beats_spy_pct
insider,570,8.874854444006756,7.1815804197091975,61.05263157894737,57.01754385964912,942,1.0939933300105624,-0.5622838308110645,48.61995753715499,42.25053078556263
options,0,,,,,0,,,,
congress,6,1.1209375453906392,-3.877767772936571,50.0,33.33333333333333,7,-0.603892031190909,-4.276989945135704,42.857142857142854,28.57142857142857
technicals,1420,4.281563103617666,3.4152156300743157,55.563380281690144,53.028169014084504,764,3.6519188396952664,1.2964221516132495,57.06806282722513,50.523560209424076
analyst,6445,3.244089711495078,1.648742820595548,56.63304887509697,49.961210240496506,267,0.017515137092699355,-1.2389088489271605,41.57303370786517,36.329588014981276
short_interest,0,,,,,0,,,,
