episode,peak,phase,v4_tact,v4_strat,v3_fast,v3_slow,v3_all,dd_252d
Dot-com,2000-03-24,at_peak,,,,,,
GFC,2007-10-09,at_peak,1.063094418953237,0.4342679243415708,1.063094418953237,1.5817501110703969,1.4196702072837846,-0.37070569141757936
COVID,2020-02-19,at_peak,-0.7328785236422729,-0.3174145633218492,0.006965025091265776,-0.1758725610085579,-0.03517038569717097,-0.3392496000265327
2022 Rates,2022-01-03,at_peak,0.7143701110761187,1.2419847467912155,-0.005134885097524182,0.44595045803281097,0.13002177202017928,-0.2542509661923039
GFC,2007-07-11,T-90,1.6231670699237022,1.6231670699237022,1.6231670699237022,,1.6231670699237022,
COVID,2019-11-21,T-90,-0.33956486055134477,-0.17559193336221396,-0.012272561186834853,0.17153335794638006,0.030086004539338126,
2022 Rates,2021-10-05,T-90,-0.0717304641159776,0.30096713836328604,-0.2954914654290611,-0.2662936459587382,-0.288762749830962,
